,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
126,127,Tim,Howard,Everton,6,Goalkeeper,49,100.0,100.0,2070,0.0,122,31,51,1,True,LIV,10,3
127,128,Joel,Robles,Everton,6,Goalkeeper,43,,,270,5.3,0,0,44,1,True,LIV,10,0
128,129,Leighton,Baines,Everton,6,Defender,60,100.0,100.0,659,0.0,0,0,62,1,True,LIV,10,0
129,130,Seamus,Coleman,Everton,6,Defender,58,100.0,100.0,1808,6.7,85,20,60,1,True,LIV,10,0
130,131,Phil,Jagielka,Everton,6,Defender,51,100.0,100.0,1311,5.0,121,23,54,1,True,LIV,10,2
131,132,John,Stones,Everton,6,Defender,54,100.0,100.0,1890,0.0,119,23,55,1,True,LIV,10,0
132,133,Luke,Garbutt,Everton,6,Defender,45,0.0,0.0,0,0.0,0,0,45,1,True,LIV,10,0
133,134,Brendan,Galloway,Everton,6,Defender,39,100.0,100.0,1221,0.0,58,17,45,1,True,LIV,10,2
134,135,Tony,Hibbert,Everton,6,Defender,39,100.0,0.0,0,0.0,0,0,40,1,True,LIV,10,0
135,136,Tyias,Browning,Everton,6,Defender,38,0.0,0.0,298,0.0,30,6,40,1,True,LIV,10,2
136,137,Kevin,Mirallas,Everton,6,Midfielder,67,100.0,100.0,458,0.3,-6,-1,68,1,True,LIV,10,0
137,138,Ross,Barkley,Everton,6,Midfielder,73,,,2272,7.0,107,28,69,1,True,LIV,10,1
138,139,Tom,Cleverley,Everton,6,Midfielder,51,100.0,100.0,1139,6.7,29,6,52,1,True,LIV,10,0
139,140,Leon,Osman,Everton,6,Midfielder,44,,,116,0.7,0,0,47,1,True,LIV,10,0
140,141,James,McCarthy,Everton,6,Midfielder,46,100.0,100.0,1515,2.7,86,12,49,1,True,LIV,10,1
141,142,Aiden,McGeady,Everton,6,Midfielder,49,0.0,0.0,0,0.0,0,0,50,1,True,LIV,10,0
142,143,Steven,Pienaar,Everton,6,Midfielder,48,100.0,100.0,93,0.0,0,0,49,1,True,LIV,10,0
143,144,Gareth,Barry,Everton,6,Midfielder,42,100.0,100.0,2340,2.3,70,11,44,1,True,LIV,10,2
144,145,Darron,Gibson,Everton,6,Midfielder,44,0.0,100.0,42,0.0,0,0,44,1,True,LIV,10,0
145,146,Muhamed,Besic,Everton,6,Midfielder,44,0.0,25.0,251,0.0,3,1,45,1,True,LIV,10,0
146,147,Bryan,Oviedo,Everton,6,Midfielder,42,100.0,100.0,534,3.0,12,3,44,1,True,LIV,10,0
147,148,Gerard,Deulofeu,Everton,6,Midfielder,59,100.0,100.0,1163,0.3,18,4,62,1,True,LIV,10,1
148,149,Romelu,Lukaku,Everton,6,Forward,87,100.0,100.0,2241,4.0,68,21,82,1,True,LIV,10,7
149,150,Steven,Naismith,Norwich,12,Forward,50,100.0,100.0,842,2.3,103,22,53,1,True,LIV,10,2
150,151,Arouna,Koné,Everton,6,Forward,44,,,1314,1.0,49,13,50,1,True,LIV,10,1
151,152,Kasper,Schmeichel,Leicester,7,Goalkeeper,46,,,2430,4.3,67,9,45,1,False,NOR,13,2
152,153,Ben,Hamer,Leicester,7,Goalkeeper,40,0.0,0.0,0,0.0,0,0,40,1,False,NOR,13,0
153,154,Wes,Morgan,Leicester,7,Defender,43,100.0,100.0,2430,3.5,59,8,44,1,False,NOR,13,2
154,155,Christian,Fuchs,Leicester,7,Defender,49,100.0,100.0,1733,5.5,3,1,48,1,False,NOR,13,2
155,156,Jeffrey,Schlupp,Leicester,7,Defender,47,100.0,100.0,1020,0.3,62,6,50,1,False,NOR,13,8
156,157,Marcin,Wasilewski,Leicester,7,Defender,40,,,123,-0.3,0,0,42,1,False,NOR,13,0
157,158,Paul,Konchesky,Leicester,7,Defender,45,0.0,0.0,0,0.0,0,0,45,1,False,NOR,13,0
158,159,Ritchie,de Laet,Leicester,7,Defender,45,0.0,0.0,658,0.0,95,16,45,1,False,NOR,13,0
159,160,Danny,Simpson,Leicester,7,Defender,42,100.0,0.0,1619,1.0,0,0,39,1,False,NOR,13,6
160,161,Liam,Moore,Leicester,7,Defender,38,100.0,100.0,0,0.0,0,0,39,1,False,NOR,13,0
161,162,Robert,Huth,Leicester,7,Defender,47,100.0,100.0,2340,7.8,64,7,44,1,False,NOR,13,1
162,163,Riyad,Mahrez,Leicester,7,Midfielder,73,100.0,100.0,2106,6.0,128,43,64,1,False,NOR,13,0
163,164,Marc,Albrighton,Leicester,7,Midfielder,49,,,2154,2.8,49,12,51,1,False,NOR,13,2
164,165,Andy,King,Leicester,7,Midfielder,41,,,777,0.8,37,5,44,1,False,NOR,13,1
165,166,Daniel,Drinkwater,Leicester,7,Midfielder,45,100.0,100.0,2137,2.5,95,17,45,1,False,NOR,13,2
166,167,Dean,Hammond,Leicester,7,Midfielder,43,0.0,0.0,0,0.0,0,0,44,1,False,NOR,13,0
167,168,Anthony,Knockaert,Leicester,7,Midfielder,45,,,0,0.0,0,0,45,1,False,NOR,13,0
168,169,Matthew,James,Leicester,7,Midfielder,44,0.0,0.0,0,0.0,0,0,45,1,False,NOR,13,0
169,170,Jamie,Vardy,Leicester,7,Forward,77,100.0,100.0,2358,6.8,114,26,63,1,False,NOR,13,9
170,171,Leonardo,Ulloa,Leicester,7,Forward,52,100.0,100.0,640,2.0,10,3,54,1,False,NOR,13,1
171,172,Andrej,Kramaric,Leicester,7,Forward,54,0.0,0.0,24,0.0,0,0,56,1,False,NOR,13,0
172,173,David,Nugent,Leicester,7,Forward,55,0.0,0.0,0,0.0,0,0,55,1,False,NOR,13,0
173,174,Shinji,Okazaki,Leicester,7,Forward,56,100.0,100.0,1382,2.8,39,12,60,1,False,NOR,13,2
174,175,Simon,Mignolet,Liverpool,8,Goalkeeper,49,100.0,100.0,2250,3.0,83,16,51,1,False,EVE,7,3
175,176,Adam,Bogdan,Liverpool,8,Goalkeeper,43,,,90,0.0,0,0,44,1,False,EVE,7,0
176,177,Martin,Skrtel,Liverpool,8,Defender,54,25.0,0.0,1480,0.0,111,16,55,1,False,EVE,7,2
177,178,José,Enrique Sanchez Diaz,Liverpool,8,Defender,42,,,0,0.0,0,0,43,1,False,EVE,7,0
178,179,Kolo,Touré,Liverpool,8,Defender,44,100.0,100.0,432,5.0,0,0,44,1,False,EVE,7,0
179,180,Mamadou,Sakho,Liverpool,8,Defender,47,75.0,100.0,1470,2.7,19,2,48,1,False,EVE,7,1
180,181,Tiago,Ilori,Liverpool,8,Defender,44,100.0,100.0,0,0.0,0,0,44,1,True,STK,14,0
181,182,Dejan,Lovren,Liverpool,8,Defender,48,75.0,75.0,1221,0.7,80,16,50,1,False,EVE,7,0
182,183,Javier,Manquillo,Liverpool,8,Defender,45,,,0,0.0,0,0,45,1,False,EVE,7,0
183,184,Alberto,Moreno,Liverpool,8,Defender,47,,,1920,2.3,53,12,47,1,False,EVE,7,2
184,185,Andre,Wisdom,Norwich,12,Defender,42,0.0,25.0,554,0.0,22,2,43,1,True,LEI,4,0
185,186,Nathaniel,Clyne,Liverpool,8,Defender,52,100.0,100.0,2340,5.0,79,14,55,1,False,EVE,7,2
186,187,Leiva,Lucas,Liverpool,8,Midfielder,43,25.0,100.0,1517,0.7,61,8,44,1,False,EVE,7,1
187,188,Jordan,Henderson,Liverpool,8,Midfielder,65,100.0,100.0,993,3.3,23,4,67,1,False,EVE,7,0
188,189,Raheem,Sterling,Man City,9,Midfielder,85,100.0,75.0,1655,1.7,69,20,89,3,True,NEW,20,1
189,190,Joe,Allen,Liverpool,8,Midfielder,49,100.0,0.0,193,0.7,0,0,49,1,False,EVE,7,1
190,191,Philippe,Coutinho,Liverpool,8,Midfielder,80,100.0,100.0,1481,5.0,6,6,81,1,False,EVE,7,2
191,192,Jordon,Ibe,Liverpool,8,Midfielder,45,100.0,100.0,854,0.3,9,6,48,1,False,EVE,7,0
192,193,Emre,Can,Liverpool,8,Midfielder,53,100.0,100.0,2041,4.0,54,8,53,1,False,EVE,7,1
