listing_id,date
957584,2015-03-28
957584,2015-04-08
957584,2015-05-12
957584,2015-05-16
957584,2015-05-31
957584,2015-06-10
957584,2015-07-18
957584,2015-08-10
957584,2015-08-19
957584,2015-09-09
957584,2015-09-13
957584,2015-10-17
2266589,2014-07-05
2266589,2014-07-19
2266589,2014-07-30
2266589,2014-08-09
2266589,2014-10-20
2266589,2015-01-03
2266589,2015-08-03
2266589,2015-08-07
8763676,2015-10-10
8763676,2015-10-19
8763676,2015-10-20
8763676,2015-10-25
8763676,2015-10-28
875287,2013-03-08
875287,2013-07-08
875287,2013-07-20
875287,2013-07-28
875287,2013-08-05
875287,2013-08-09
875287,2013-09-23
875287,2013-09-25
875287,2013-09-29
875287,2013-10-02
875287,2013-10-08
875287,2013-10-20
875287,2014-02-04
875287,2014-02-14
875287,2014-04-18
875287,2014-04-27
875287,2014-05-05
875287,2014-05-16
875287,2014-05-27
875287,2014-06-13
875287,2014-07-10
875287,2014-08-12
875287,2014-09-06
875287,2014-09-21
875287,2014-09-28
875287,2014-10-06
875287,2014-11-20
875287,2015-01-18
875287,2015-03-22
875287,2015-04-03
875287,2015-05-04
875287,2015-05-19
875287,2015-05-21
875287,2015-05-25
875287,2015-06-08
875287,2015-06-30
875287,2015-08-01
875287,2015-08-10
875287,2015-08-16
875287,2015-08-25
875287,2015-09-01
875287,2015-09-14
875287,2015-09-18
875287,2015-10-11
4237349,2014-10-17
4237349,2015-07-27
4237349,2015-08-08
4237349,2015-08-15
4237349,2015-09-19
4237349,2015-09-30
8703213,2015-10-14
2965433,2014-06-02
2965433,2014-08-10
2965433,2015-04-05
2965433,2015-06-11
2965433,2015-06-18
2965433,2015-06-29
2965433,2015-07-07
2965433,2015-07-15
2965433,2015-07-19
2965433,2015-08-01
2965433,2015-08-09
784071,2012-11-18
784071,2012-12-02
784071,2012-12-03
784071,2013-01-10
784071,2013-01-21
784071,2013-01-28
784071,2013-02-18
784071,2013-02-26
784071,2013-03-12
784071,2013-03-19
784071,2013-03-25
784071,2013-03-30
784071,2013-04-14
784071,2013-04-15
784071,2013-04-23
784071,2013-04-30
784071,2013-05-15
784071,2013-05-23
784071,2013-05-28
784071,2013-05-29
